"test","loc","genotype","code","fc","pc","note1","note2","year","rep","plot","md","lod","ht","yield","sdwt","sq","pro","oil","p_o","id","ag_score","hif_family","allele_call","shriveled","det","linolenic","oleic","herbicide","shrivel"
"LP Pro-1","Cas","N16-467","1","W","g",NA,NA,2017,1,12,12,2,NA,1569.6,12.3,2,45.83,21.71,67.54,"12*N16-467*LP Pro-1*Cas*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-467","1","M","g",NA,NA,2017,2,96,14,2.5,NA,1512.3,12.7,2,44.69,22.2,66.89,"96*N16-467*LP Pro-1*Cas*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-467","1","W","g",NA,NA,2017,3,180,NA,NA,NA,1360.1,12.8,2.5,45.87,21.47,67.34,"180*N16-467*LP Pro-1*Cas*2017*1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-622","10","P","g","green stem",NA,2017,1,51,20,3,NA,1395,15.7,2,46.06,19.96,66.02,"51*N16-622*LP Pro-1*Cas*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-622","10","P","g","green stem",NA,2017,2,67,20,2,NA,1288.3,16,2,47.04,19.82,66.86,"67*N16-622*LP Pro-1*Cas*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-622","10","P","g",NA,NA,2017,3,150,NA,NA,NA,1200.3,15.5,2,46.24,19.45,65.69,"150*N16-622*LP Pro-1*Cas*2017*10",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-630","11","P","t","green stem",NA,2017,1,15,15,2,NA,1256.8,16.9,2.5,44.88,21.99,66.87,"15*N16-630*LP Pro-1*Cas*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-630","11","P","t","green stem",NA,2017,2,104,15,2.5,NA,1368.8,17.4,2.5,45.86,21.22,67.08,"104*N16-630*LP Pro-1*Cas*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-630","11","P","t",NA,NA,2017,3,163,NA,NA,NA,1282.5,17.6,2.5,45.58,21.5,67.08,"163*N16-630*LP Pro-1*Cas*2017*11",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LP Pro-1","Cas","N16-734","12","W","t","Seg for Mat",NA,2017,1,18,18,2,NA,1022.1,15.2,3,42.65,22.04,64.69,"18*N16-734*LP Pro-1*Cas*2017*12",NA,NA,NA,NA,NA,NA,NA,NA,NA
